converged,iterations,final_psi,displacement,hpwl_before,hpwl_after,psi_init,psi_incr,circuit,mode
False,,,,,,0.5,0.1,cct2.txt,he
True,48.0,12.25,3516.0,17056.5,29687.37,0.5,0.25,cct2.txt,he
True,25.0,12.5,3527.0,17056.5,29810.1,0.5,0.5,cct2.txt,he
True,13.0,12.5,3559.0,17056.5,29739.98,0.5,1.0,cct2.txt,he
True,7.0,12.5,3594.0,17056.5,29755.55,0.5,2.0,cct2.txt,he
True,5.0,12.5,3645.0,17056.5,29828.07,0.5,3.0,cct2.txt,he
True,4.0,12.5,3651.0,17056.5,29558.39,0.5,4.0,cct2.txt,he
False,,,,,,1.0,0.1,cct2.txt,he
True,46.0,12.25,3516.0,17056.5,29687.37,1.0,0.25,cct2.txt,he
True,24.0,12.5,3527.0,17056.5,29810.1,1.0,0.5,cct2.txt,he
True,12.0,12.0,3533.0,17056.5,29693.84,1.0,1.0,cct2.txt,he
True,7.0,13.0,3572.0,17056.5,29675.01,1.0,2.0,cct2.txt,he
True,5.0,13.0,3641.0,17056.5,29573.89,1.0,3.0,cct2.txt,he
True,4.0,13.0,3665.0,17056.5,29688.1,1.0,4.0,cct2.txt,he
False,,,,,,2.0,0.1,cct2.txt,he
True,42.0,12.25,3510.0,17056.5,29768.45,2.0,0.25,cct2.txt,he
True,22.0,12.5,3521.0,17056.5,29682.03,2.0,0.5,cct2.txt,he
True,11.0,12.0,3553.0,17056.5,29911.51,2.0,1.0,cct2.txt,he
True,6.0,12.0,3569.0,17056.5,29652.65,2.0,2.0,cct2.txt,he
True,5.0,14.0,3617.0,17056.5,29601.25,2.0,3.0,cct2.txt,he
True,4.0,14.0,3704.0,17056.5,29642.6,2.0,4.0,cct2.txt,he
True,82.0,12.1,3541.0,17056.5,29358.81,4.0,0.1,cct2.txt,he
True,34.0,12.25,3535.0,17056.5,29335.42,4.0,0.25,cct2.txt,he
True,18.0,12.5,3541.0,17056.5,29296.76,4.0,0.5,cct2.txt,he
True,9.0,12.0,3560.0,17056.5,29384.35,4.0,1.0,cct2.txt,he
True,5.0,12.0,3586.0,17056.5,29564.82,4.0,2.0,cct2.txt,he
True,4.0,13.0,3653.0,17056.5,29577.29,4.0,3.0,cct2.txt,he
True,3.0,12.0,3656.0,17056.5,29462.41,4.0,4.0,cct2.txt,he
True,59.0,11.8,3639.0,17056.5,29567.28,6.0,0.1,cct2.txt,he
True,24.0,11.75,3632.0,17056.5,29463.36,6.0,0.25,cct2.txt,he
True,13.0,12.0,3636.0,17056.5,29470.46,6.0,0.5,cct2.txt,he
True,7.0,12.0,3634.0,17056.5,29565.0,6.0,1.0,cct2.txt,he
True,4.0,12.0,3663.0,17056.5,29619.29,6.0,2.0,cct2.txt,he
True,3.0,12.0,3711.0,17056.5,29553.09,6.0,3.0,cct2.txt,he
True,3.0,14.0,3736.0,17056.5,29538.28,6.0,4.0,cct2.txt,he
True,42.0,12.1,3713.0,17056.5,29602.09,8.0,0.1,cct2.txt,he
True,18.0,12.25,3711.0,17056.5,29571.58,8.0,0.25,cct2.txt,he
True,10.0,12.5,3713.0,17056.5,29637.79,8.0,0.5,cct2.txt,he
True,6.0,13.0,3713.0,17056.5,29757.61,8.0,1.0,cct2.txt,he
True,3.0,12.0,3742.0,17056.5,29649.34,8.0,2.0,cct2.txt,he
True,3.0,14.0,3720.0,17056.5,29693.41,8.0,3.0,cct2.txt,he
True,2.0,12.0,3736.0,17056.5,29590.5,8.0,4.0,cct2.txt,he
True,22.0,12.1,3776.0,17056.5,29571.39,10.0,0.1,cct2.txt,he
True,9.0,12.0,3784.0,17056.5,29603.7,10.0,0.25,cct2.txt,he
True,5.0,12.0,3792.0,17056.5,29574.42,10.0,0.5,cct2.txt,he
True,3.0,12.0,3791.0,17056.5,29529.81,10.0,1.0,cct2.txt,he
True,2.0,12.0,3789.0,17056.5,29538.22,10.0,2.0,cct2.txt,he
True,2.0,13.0,3789.0,17056.5,29538.22,10.0,3.0,cct2.txt,he
True,2.0,14.0,3789.0,17056.5,29538.22,10.0,4.0,cct2.txt,he
