converged,iterations,final_psi,displacement,hpwl_before,hpwl_after,psi_init,psi_incr,circuit,mode
False,,,,,,0.5,0.1,cct3.txt,ho
True,66.0,16.75,11928.0,12610.27,14537.48,0.5,0.25,cct3.txt,ho
True,34.0,17.0,11940.0,12610.27,14530.58,0.5,0.5,cct3.txt,ho
True,18.0,17.5,11984.0,12610.27,14523.46,0.5,1.0,cct3.txt,ho
True,9.0,16.5,12048.0,12610.27,14562.27,0.5,2.0,cct3.txt,ho
True,7.0,18.5,12105.0,12610.27,14522.04,0.5,3.0,cct3.txt,ho
True,6.0,20.5,12165.0,12610.27,14520.98,0.5,4.0,cct3.txt,ho
False,,,,,,1.0,0.1,cct3.txt,ho
True,64.0,16.75,11928.0,12610.27,14537.48,1.0,0.25,cct3.txt,ho
True,33.0,17.0,11940.0,12610.27,14530.58,1.0,0.5,cct3.txt,ho
True,17.0,17.0,11970.0,12610.27,14522.3,1.0,1.0,cct3.txt,ho
True,9.0,17.0,12019.0,12610.27,14556.75,1.0,2.0,cct3.txt,ho
True,7.0,19.0,12107.0,12610.27,14524.57,1.0,3.0,cct3.txt,ho
True,5.0,17.0,12153.0,12610.27,14520.69,1.0,4.0,cct3.txt,ho
False,,,,,,2.0,0.1,cct3.txt,ho
True,60.0,16.75,11930.0,12610.27,14523.39,2.0,0.25,cct3.txt,ho
True,31.0,17.0,11942.0,12610.27,14534.63,2.0,0.5,cct3.txt,ho
True,16.0,17.0,11972.0,12610.27,14522.3,2.0,1.0,cct3.txt,ho
True,9.0,18.0,12027.0,12610.27,14512.64,2.0,2.0,cct3.txt,ho
True,6.0,17.0,12099.0,12610.27,14556.42,2.0,3.0,cct3.txt,ho
True,5.0,18.0,12121.0,12610.27,14533.72,2.0,4.0,cct3.txt,ho
False,,,,,,4.0,0.1,cct3.txt,ho
True,52.0,16.75,11958.0,12610.27,14542.77,4.0,0.25,cct3.txt,ho
True,27.0,17.0,11972.0,12610.27,14525.63,4.0,0.5,cct3.txt,ho
True,14.0,17.0,12004.0,12610.27,14520.91,4.0,1.0,cct3.txt,ho
True,8.0,18.0,12054.0,12610.27,14543.99,4.0,2.0,cct3.txt,ho
True,6.0,19.0,12119.0,12610.27,14526.02,4.0,3.0,cct3.txt,ho
True,5.0,20.0,12149.0,12610.27,14515.11,4.0,4.0,cct3.txt,ho
False,,,,,,6.0,0.1,cct3.txt,ho
True,44.0,16.75,12000.0,12610.27,14532.64,6.0,0.25,cct3.txt,ho
True,23.0,17.0,12012.0,12610.27,14536.19,6.0,0.5,cct3.txt,ho
True,12.0,17.0,12042.0,12610.27,14536.97,6.0,1.0,cct3.txt,ho
True,7.0,18.0,12068.0,12610.27,14508.19,6.0,2.0,cct3.txt,ho
True,5.0,18.0,12111.0,12610.27,14505.12,6.0,3.0,cct3.txt,ho
True,4.0,18.0,12153.0,12610.27,14503.54,6.0,4.0,cct3.txt,ho
True,88.0,16.7,12076.0,12610.27,14531.52,8.0,0.1,cct3.txt,ho
True,36.0,16.75,12080.0,12610.27,14537.01,8.0,0.25,cct3.txt,ho
True,19.0,17.0,12084.0,12610.27,14519.73,8.0,0.5,cct3.txt,ho
True,10.0,17.0,12090.0,12610.27,14534.91,8.0,1.0,cct3.txt,ho
True,6.0,18.0,12098.0,12610.27,14540.65,8.0,2.0,cct3.txt,ho
True,4.0,17.0,12143.0,12610.27,14496.06,8.0,3.0,cct3.txt,ho
True,4.0,20.0,12177.0,12610.27,14537.13,8.0,4.0,cct3.txt,ho
True,68.0,16.7,12114.0,12610.27,14550.31,10.0,0.1,cct3.txt,ho
True,28.0,16.75,12114.0,12610.27,14534.53,10.0,0.25,cct3.txt,ho
True,15.0,17.0,12114.0,12610.27,14521.45,10.0,0.5,cct3.txt,ho
True,8.0,17.0,12110.0,12610.27,14501.33,10.0,1.0,cct3.txt,ho
True,5.0,18.0,12155.0,12610.27,14555.91,10.0,2.0,cct3.txt,ho
True,4.0,19.0,12183.0,12610.27,14524.54,10.0,3.0,cct3.txt,ho
True,3.0,18.0,12183.0,12610.27,14498.57,10.0,4.0,cct3.txt,ho
