total_cost,crossing_cost,community_cost,nodes_visited,runtime_ms,runtime_s,circuit,threads
10,10,0,33,0,0.0,cct1,1
10,10,0,46,1,0.001,cct1,2
10,10,0,30,2,0.002,cct1,4
10,10,0,28,2,0.002,cct1,8
10,10,0,28,2,0.002,cct1,16
10,10,0,42,5,0.005,cct1,32
10,10,0,70,3,0.003,cct1,64
10,10,0,132,8,0.008,cct1,128
14,14,0,13639,13,0.013,cct2,1
14,14,0,24280,25,0.025,cct2,2
14,14,0,41280,20,0.02,cct2,4
14,14,0,37378,17,0.017,cct2,8
14,14,0,17128,6,0.006,cct2,16
14,14,0,21982,6,0.006,cct2,32
14,14,0,21698,10,0.01,cct2,64
14,14,0,9270,9,0.009,cct2,128
21,21,0,66203,99,0.099,cct3,1
21,21,0,49400,60,0.06,cct3,2
21,21,0,63716,48,0.048,cct3,4
21,21,0,80220,41,0.041,cct3,8
21,21,0,57414,29,0.029,cct3,16
21,21,0,42348,23,0.023,cct3,32
21,21,0,46408,20,0.02,cct3,64
21,21,0,43862,18,0.018,cct3,128
62,62,0,76773195,184068,184.068,cct4,1
62,62,0,78006516,112047,112.047,cct4,2
62,62,0,79094418,92213,92.213,cct4,4
62,62,0,78815074,62491,62.491,cct4,8
62,62,0,82087604,43757,43.757,cct4,16
62,62,0,88890504,30735,30.735,cct4,32
62,62,0,99322988,22539,22.539,cct4,64
62,62,0,103565696,18282,18.282,cct4,128
